YYYY,MM,DD,HR,Temperature,Humidity,Precipitation,Pressure,Windspeed
2018,5,17,7,7.98,5.13,0,101.3,1.58
2018,5,17,8,9.39,5.19,0,101.29,1.09
2018,5,17,9,10.59,5.43,0,101.26,0.75
2018,5,17,10,11.69,5.62,0,101.21,0.48
2018,5,17,11,12.62,5.55,0,101.18,0.56
2018,5,17,12,13.33,5.62,0,101.13,0.82
2018,5,17,13,13.82,5.74,0,101.09,1.15
2018,5,17,14,14.14,5.86,0,101.04,1.5
2018,5,17,15,14.06,5.92,0,101,1.9
2018,5,17,16,13.65,5.98,0,100.98,2.31
2018,5,17,17,12.88,6.04,0,100.96,2.78
2018,5,17,18,11.62,6.23,0,100.96,3.13
2018,5,17,19,9.72,6.35,0,100.95,3.08
2018,5,17,20,7.59,5.98,0,100.97,2.89
2018,5,17,21,6.52,5.74,0,100.97,2.74
2018,5,17,22,6.01,5.62,0,100.96,2.47
2018,5,17,23,5.98,5.43,0,100.95,2.44
2018,5,18,0,5.71,5.25,0,100.91,2.04
2018,5,18,1,5.51,5.19,0,100.87,1.89
2018,5,18,2,5.41,5.13,0,100.83,1.66
2018,5,18,3,5.58,5.19,0,100.81,1.41
2018,5,18,4,5.76,5.31,0,100.78,1.34
2018,5,18,5,6.32,5.49,0,100.76,1.35
2018,5,18,6,7.22,5.68,0,100.74,1.53
2018,5,18,7,8.87,5.86,0,100.72,2.09
2018,5,18,8,10.5,6.1,0,100.71,2.59
2018,5,18,9,11.77,6.16,0,100.69,2.98
2018,5,18,10,12.72,6.16,0,100.67,3.26
2018,5,18,11,13.69,6.23,0,100.63,3.36
2018,5,18,12,14.51,6.35,0,100.59,3.23
2018,5,18,13,15.05,6.47,0,100.55,3.05
2018,5,18,14,15.37,6.53,0,100.54,2.92
2018,5,18,15,15.43,6.65,0,100.53,2.9
2018,5,18,16,15.31,6.77,0,100.52,2.9
2018,5,18,17,14.98,7.08,0,100.52,2.62
2018,5,18,18,14.37,7.45,0,100.53,2.14
2018,5,18,19,12.88,7.51,0,100.55,1.75
2018,5,18,20,11.7,6.65,0,100.56,1.81
2018,5,18,21,10.86,6.53,0,100.55,1.98
2018,5,18,22,10.02,6.47,0,100.54,2.16
2018,5,18,23,9.22,6.47,0,100.53,2.34
2018,5,19,0,8.59,6.53,0,100.53,2.41
2018,5,19,1,8.23,6.47,0,100.51,2.29
2018,5,19,2,7.9,6.47,0,100.49,2.19
2018,5,19,3,7.37,6.41,0,100.48,2.24
2018,5,19,4,7.1,6.35,0,100.47,2.33
2018,5,19,5,8.62,6.59,0,100.48,2.18
2018,5,19,6,9.98,6.71,0,100.49,2.41
2018,5,19,7,11.65,6.84,0,100.51,2.49
2018,5,19,8,13.44,6.77,0,100.51,3.51
2018,5,19,9,14.48,6.84,0,100.49,3.96
